pageCount,INTcount,EXTcount,URLfragments,timestamp
1,60,100,18,2021-11-13T15:04:47Z
2,82,8,2,None
3,93,235,10,None
4,66,92,12,2021-08-26T16:39:41Z
5,60,100,18,2021-11-13T15:04:47Z
6,189,8,2,None
7,89,199,3,None
8,37,64,2,2021-09-03T15:59:32Z
9,112,10,3,None
10,43,95,2,2021-05-13T05:44:13Z
11,760,366,188,2021-11-28T04:18:17Z
12,47,89,2,2018-12-12T13:29:46Z
13,109,9,2,None
14,65,49,6,2020-11-27T20:09:06Z
15,119,187,34,2021-09-28T07:42:51Z
16,56,43,4,2020-04-01T12:01:22Z
17,45,100,6,2018-12-02T08:43:09Z
18,30,19,2,None
19,44,168,3,None
20,418,18,18,None
21,24,8,2,None
22,70,83,2,None
23,78,220,6,None
24,65,153,4,2021-10-05T18:32:31Z
25,500,326,166,2021-08-15T16:46:42Z
26,149,8,2,None
27,164,200,4,2021-08-20T20:05:40Z
28,428,276,20,None
29,57,89,10,2021-08-15T07:55:57Z
30,39,17,4,2021-11-13T15:31:05Z
31,214,209,93,2021-12-04T04:18:13Z
32,164,200,4,2021-08-20T20:05:40Z
33,70,99,8,2021-11-10T08:50:11Z
34,323,100,20,2021-11-13T15:33:56Z
35,75,36,4,2021-08-16T14:54:17Z
36,124,153,4,2021-06-01T10:49:16Z
37,164,200,4,2021-08-20T20:05:40Z
38,101,112,19,2021-10-22T21:52:03Z
39,508,15,27,None
40,268,77,26,2021-05-29T08:57:01Z
41,512,299,142,2021-11-19T19:46:58Z
42,548,304,48,2021-10-31T09:06:45Z
43,295,128,13,2021-08-16T09:27:59Z
44,198,195,23,2021-11-15T21:48:34Z
45,50,61,2,2021-10-18T06:59:56Z
46,254,69,12,2020-10-08T06:45:03Z
47,120,207,2,2021-11-09T04:50:02Z
48,140,99,8,2021-12-05T08:23:48Z
49,389,33,43,None
50,50,142,6,2021-08-16T14:35:33Z
51,48,17,3,None
52,206,8,2,None
53,55,57,6,2020-02-01T08:26:37Z
54,41,63,2,2019-06-23T05:51:05Z
55,17,11,2,None
56,101,190,16,2021-12-01T20:35:12Z
57,69,62,8,None
58,1375,93,89,None
59,68,126,2,None
60,30,98,2,None
61,44,8,2,None
62,1096,86,121,None
63,153,89,3,None
64,143,100,8,2021-12-05T08:23:37Z
65,27,8,2,None
66,313,96,37,2021-08-23T21:16:41Z
67,42,13,2,None
68,65,107,2,2021-11-16T13:31:41Z
69,41,50,2,2013-03-12T14:57:18Z
70,440,240,43,2021-12-01T22:35:17Z
71,44,100,6,2018-12-02T08:43:09Z
72,77,46,23,2021-05-29T01:38:53Z
73,43,17,4,2013-03-12T12:10:08Z
74,81,144,2,None
75,53,34,4,2021-05-28T20:22:49Z
76,80,8,2,None
77,120,110,18,2021-06-27T01:48:19Z
78,57,110,6,2021-10-09T06:54:33Z
79,55,114,8,2021-06-14T17:57:15Z
80,261,72,6,2021-08-30T12:12:51Z
81,247,65,4,2015-08-21T13:16:29Z
82,150,203,22,2021-10-14T15:49:49Z
83,297,183,13,None
84,39,64,2,2013-03-11T23:24:57Z
85,132,30,13,None
86,81,109,12,2021-09-15T10:30:07Z
87,270,121,13,2020-07-27T00:47:59Z
88,104,157,9,2021-03-16T19:26:52Z
89,266,66,6,2020-08-15T12:51:34Z
90,79,97,25,2021-10-01T14:43:07Z
91,245,204,7,None
92,52,9,2,None
93,37,23,2,2016-02-19T17:47:09Z
94,589,15,28,None
95,52,133,2,2021-11-08T04:52:16Z
96,46,96,2,None
97,65,49,6,2020-11-27T20:09:06Z
98,1033,148,62,None
99,105,152,2,2021-09-23T23:54:25Z
100,77,105,18,2021-06-01T19:12:52Z
101,52,94,2,2013-10-21T03:39:39Z
102,123,111,21,2021-09-25T15:15:19Z
103,368,182,113,2021-09-30T04:49:51Z
104,72,70,16,2021-09-25T21:17:07Z
105,50,8,4,None
106,283,72,8,2021-01-19T15:59:13Z
107,514,228,25,2021-06-12T04:39:36Z
108,34,19,3,None
109,340,90,70,2021-09-29T23:19:02Z
110,189,8,2,None
111,91,122,35,2021-10-07T17:00:40Z
112,608,230,67,None
113,55,76,2,2017-06-21T11:44:05Z
114,45,78,2,2018-08-12T06:47:38Z
115,63,102,2,None
116,359,269,78,2021-11-23T07:04:05Z
117,48,8,2,None
118,64,81,2,2021-10-20T23:42:25Z
119,40,75,2,None
120,189,8,2,None
121,31,7,2,None
122,220,124,14,2021-11-10T19:14:49Z
123,45,11,2,None
124,61,79,8,2021-01-19T15:33:11Z
125,109,9,2,None
126,68,81,8,2021-04-22T18:25:19Z
127,35,91,2,None
128,945,56,61,None
129,74,19,7,None
130,320,247,67,2021-10-11T10:02:00Z
131,246,224,7,None
132,64,120,2,2020-11-23T20:25:45Z
133,545,8,2,None
134,514,234,39,2021-11-05T18:17:06Z
135,937,53,52,None
136,41,7,2,None
137,45,85,6,2021-11-05T15:30:37Z
138,43,19,2,2020-10-19T16:13:36Z
139,25,8,2,None
140,42,108,2,2020-02-10T15:54:37Z
141,133,74,17,2021-07-21T06:27:19Z
142,40,31,6,2018-06-28T01:50:49Z
143,37,8,2,None
144,99,14,9,None
145,179,509,3,None
146,1041,28,33,None
147,643,59,107,None
148,42,38,2,2016-03-09T18:01:11Z
149,37,64,2,2021-09-03T15:59:32Z
150,151,203,22,2021-10-14T15:49:49Z
151,18,8,2,None
152,72,61,21,2020-04-14T22:06:08Z
153,60,55,12,2021-10-28T08:35:58Z
154,139,248,48,2021-08-18T04:51:39Z
155,404,189,26,2021-08-11T04:17:20Z
156,611,63,69,None
157,123,105,37,2021-11-23T14:13:04Z
158,49,46,2,None
159,95,87,2,2020-05-06T12:28:38Z
160,102,168,54,2021-10-23T05:38:09Z
161,253,72,6,2021-09-03T20:39:29Z
162,38,52,2,None
163,34,60,2,None
164,90,115,2,None
165,271,113,4,2021-07-24T18:40:31Z
166,246,235,7,None
167,39,45,2,2020-12-04T15:41:01Z
168,49,101,2,None
169,56,220,2,2020-01-25T21:49:25Z
170,271,112,31,None
171,514,747,97,None
172,159,87,14,2021-02-05T12:22:17Z
173,266,10,4,None
174,63,120,4,2020-02-11T00:09:02Z
175,101,120,24,2020-12-30T00:18:56Z
176,80,70,7,2020-08-21T00:55:12Z
177,255,13,35,None
178,32,93,2,None
179,516,232,54,2021-08-25T11:18:43Z
180,142,35,34,2020-04-13T16:36:49Z
181,130,84,3,2020-12-30T05:49:38Z
182,259,85,10,2021-05-29T01:14:26Z
183,70,66,21,2021-09-11T05:55:51Z
184,37,61,2,None
185,44,19,2,None
186,270,79,16,2021-05-28T20:09:19Z
187,609,233,23,2021-11-29T08:29:38Z
188,89,201,11,2021-11-30T13:14:58Z
189,54,48,2,2021-11-04T11:29:59Z
190,45,72,2,None
191,129,7,2,None
192,934,48,35,None
193,32,94,2,None
194,121,202,35,2021-12-01T01:32:50Z
195,51,79,2,2013-10-08T02:11:28Z
196,64,151,19,2021-09-28T07:13:23Z
197,62,63,12,2021-05-07T23:25:51Z
198,60,104,12,2021-05-12T00:19:36Z
199,264,61,4,2020-10-08T06:03:39Z
200,92,8,14,None
